time	magn	lat	long	altGPS	sat	fix	alt	vsi	pitch	roll
07:12:49.928743	1004	59.864631	30.342014	6.84	9	3	12.82	-0.01	0.00	-1.00
07:12:49.944449	1005	59.864631	30.342014	6.84	9	3	12.92	-0.01	0.00	-1.00
07:12:49.959555	1004	59.864631	30.342014	6.84	9	3	12.92	-0.02	0.00	-1.00
07:12:49.960216	1006	59.864631	30.342014	6.84	9	3	12.92	-0.02	0.00	-1.00
07:12:49.976017	1003	59.864631	30.342014	6.84	9	3	12.90	-0.02	0.00	-1.00
07:12:49.976902	1005	59.864631	30.342014	6.84	9	3	12.90	-0.02	0.00	-1.00
07:12:49.992364	1002	59.864631	30.342014	6.84	9	3	12.83	-0.02	0.00	-1.00
07:12:50.007501	1003	59.864631	30.342014	6.84	9	3	12.83	-0.02	0.00	-1.00
07:12:50.008236	1001	59.864631	30.342014	6.84	9	3	12.83	-0.02	0.00	-1.00
07:12:50.023818	1002	59.864631	30.342014	6.84	9	3	12.85	-0.02	0.00	-1.00
07:12:50.024642	1000	59.864631	30.342014	6.84	9	3	12.85	-0.02	0.00	-1.00
07:12:50.040199	1002	59.864631	30.342014	6.84	9	3	12.86	-0.02	0.00	-1.00
07:12:50.056595	999	59.864631	30.342014	6.84	9	3	12.87	-0.02	0.00	-1.00
07:12:50.057346	1002	59.864631	30.342014	6.84	9	3	12.87	-0.02	0.00	-1.00
07:12:50.071717	1000	59.864631	30.342014	6.84	9	3	12.86	-0.02	0.00	-1.00
07:12:50.088058	1001	59.864631	30.342014	6.84	9	3	12.95	-0.02	0.00	-1.00
07:12:50.088734	1001	59.864631	30.342014	6.84	9	3	12.95	-0.02	0.00	-1.00
07:12:50.104469	1002	59.864631	30.342014	6.79	9	3	12.86	-0.02	0.00	-1.00
07:12:50.105092	1002	59.864631	30.342014	6.79	9	3	12.86	-0.02	0.00	-1.00
07:12:50.119579	1001	59.864631	30.342014	6.79	9	3	12.83	-0.02	0.00	-1.00
07:12:50.136037	1001	59.864631	30.342014	6.79	9	3	12.81	-0.02	0.00	-1.00
07:12:50.136926	1001	59.864631	30.342014	6.79	9	3	12.81	-0.02	0.00	-1.00
07:12:50.152374	1001	59.864631	30.342014	6.79	9	3	12.76	-0.02	0.00	-2.00
07:12:50.153075	1002	59.864631	30.342014	6.79	9	3	12.76	-0.02	0.00	-2.00
07:12:50.167473	1002	59.864631	30.342014	6.79	9	3	12.73	-0.02	0.00	-2.00
07:12:50.183819	1002	59.864631	30.342014	6.79	9	3	12.69	-0.02	0.00	-2.00
07:12:50.184587	1002	59.864631	30.342014	6.79	9	3	12.69	-0.02	0.00	-2.00
07:12:50.200200	1001	59.864631	30.342014	6.79	9	3	12.67	-0.02	0.00	-2.00
07:12:50.200952	1004	59.864631	30.342014	6.79	9	3	12.67	-0.02	0.00	-2.00
07:12:50.216602	1001	59.864631	30.342014	6.79	9	3	12.63	-0.02	0.00	-2.00
07:12:50.231704	1003	59.864631	30.342014	6.79	9	3	12.63	-0.02	0.00	-2.00
07:12:50.232567	1001	59.864631	30.342014	6.79	9	3	12.60	-0.02	0.00	-2.00
07:12:50.248055	1003	59.864631	30.342014	6.79	9	3	12.60	-0.02	0.00	-2.00
07:12:50.264448	1000	59.864631	30.342014	6.79	9	3	12.61	-0.02	0.00	-1.00
07:12:50.265071	1002	59.864631	30.342014	6.79	9	3	12.61	-0.02	0.00	-1.00
07:12:50.279658	1000	59.864631	30.342014	6.79	9	3	12.65	-0.02	0.00	-1.00
07:12:50.280835	1002	59.864631	30.342014	6.79	9	3	12.65	-0.02	0.00	-1.00
07:12:50.296177	1000	59.864631	30.342014	6.79	9	3	12.68	-0.02	0.00	-1.00
07:12:50.312476	1003	59.864631	30.342014	6.79	9	3	12.79	-0.01	0.00	-1.00
07:12:50.313517	1000	59.864631	30.342014	6.79	9	3	12.79	-0.01	0.00	-1.00
07:12:50.327582	1002	59.864631	30.342014	6.79	9	3	12.84	-0.01	0.00	-1.00
